ID,longitude,latitude,candidate
1,-97.32590584021756,32.745369961678136,trump
1,-97.32385132243677,32.76067109725865,trump
1,-97.33696660887092,32.752163440894016,trump
1,-97.32778188183383,32.75318782971924,trump
1,-97.32270815048415,32.759596687765885,trump
1,-97.32316594577493,32.75983708316644,trump
1,-97.32698394527974,32.7455713855448,trump
1,-97.3289814323607,32.7466682656513,trump
1,-97.32166661361057,32.74870503060489,trump
1,-97.32266291460273,32.75390260133813,trump
1,-97.32607343444299,32.75993317473051,trump
1,-97.32839424424166,32.75044571821427,trump
1,-97.3225743179058,32.750901657134335,trump
1,-97.32575145489673,32.75888088446362,trump
1,-97.32599429588332,32.75244035553545,trump
1,-97.33155503382203,32.748023810885385,trump
1,-97.33298402271006,32.75198140919124,trump
1,-97.32629629428688,32.75414396753428,trump
1,-97.32339247419394,32.74594503191752,trump
1,-97.33179730561223,32.750482421126286,trump
2,-97.37224199179386,32.650917483348735,trump
2,-97.3695275532367,32.652740361705796,trump
2,-97.3765723336739,32.65605062189339,trump
2,-97.37606864760446,32.653559676300034,trump
2,-97.37248642244933,32.653627466997364,trump
2,-97.37441349143161,32.66203573765985,trump
2,-97.37047492469698,32.65994411490638,trump
2,-97.36616838244093,32.65944698406732,trump
2,-97.37156177672576,32.65105664303094,trump
2,-97.36903266305374,32.65388328891594,trump
2,-97.36720187125852,32.65332987098797,trump
2,-97.36541486903238,32.65457403926569,trump
2,-97.37038072090725,32.65300239640318,trump
2,-97.3687866392065,32.65357261686468,trump
2,-97.3621828278017,32.65701924742884,trump
2,-97.37237036332016,32.65175617576384,trump
2,-97.37481464038817,32.657915208142285,trump
2,-97.36622199638904,32.65901712171959,trump
2,-97.37503244624953,32.661775661947345,trump
2,-97.37041999745063,32.66090433373748,trump
2,-97.37505823798966,32.65170320709931,trump
2,-97.36871077893744,32.65605625028753,trump
2,-97.36531154790279,32.658324484671745,trump
2,-97.36348841628653,32.65397542319393,trump
2,-97.37534635277436,32.65969464254738,trump
2,-97.36665476049716,32.65105238423625,trump
5,-97.45459738040384,32.70969933636777,trump
5,-97.45342661945672,32.70529165668753,trump
5,-97.46160388994481,32.71026529515237,trump
5,-97.45736412185916,32.710025794441734,trump
5,-97.45689935886482,32.7108294487439,trump
5,-97.45352076676765,32.703025505421195,trump
5,-97.46163154254722,32.710531654613376,trump
5,-97.45650712001492,32.70966502120702,trump
5,-97.45254830979356,32.718213155867275,trump
5,-97.4519897765974,32.70399500940248,trump
5,-97.45355202628984,32.70854616418316,trump
5,-97.45306037080255,32.70531535854927,trump
5,-97.45502499122613,32.700505219466734,trump
5,-97.45961248278115,32.70620522708503,trump
5,-97.45630836674691,32.71380196826811,trump
5,-97.454063144964607,32.70025111731626,trump
5,-97.45683797340773,32.70299779854518,trump
5,-97.44925306743234,32.71590517761311,trump
7,-97.27248190490445,32.733008157068944,trump
8,-97.1991245792466,32.740785104006925,trump
8,-97.2185922872768,32.73969209776417,trump
8,-97.21541257343438,32.7451086453386,trump
8,-97.20036575639263,32.7404239134834,trump
8,-97.20095528680994,32.73970855274288,trump
8,-97.21271955610212,32.74330555244954,trump
8,-97.20417224536273,32.7450872120477,trump
8,-97.2157420803649,32.73814409577162,trump
8,-97.20589917948976,32.7381496440307,trump
8,-97.20089672045033,32.74360606100785,trump
8,-97.21461789283904,32.738817762243414,trump
8,-97.21627902115442,32.73864802123969,trump
8,-97.2154108114995,32.74526339004878,trump
8,-97.20931004672116,32.74108613633583,trump
8,-97.20499594596407,32.73776044553626,trump
8,-97.2127111813702,32.73989869249012,trump
8,-97.20452915443201,32.739980685510254,trump
8,-97.19975687798784,32.73651935924962,trump
8,-97.21188756678235,32.74189028495377,trump
9,-97.28633322366993,32.684821124611496,trump
9,-97.27427951345928,32.66657343190561,trump
9,-97.26491127623376,32.67413125441267,trump
9,-97.27517972376666,32.66760171480135,trump
9,-97.27314477288625,32.67818848164272,trump
9,-97.26630865225525,32.66137278183551,trump
10,-97.3441968914055,32.66501499182294,trump
10,-97.35080602927044,32.6625079753371,trump
10,-97.34729161468775,32.66543492560374,trump
10,-97.34909027205808,32.66313566307201,trump
10,-97.34630163304804,32.6656160589459,trump
10,-97.34622853366338,32.661888341124424,trump
11,-97.38536189915405,32.71750559028987,trump
11,-97.3857943704912,32.7253378748201,trump
11,-97.3677736012171,32.72754450389223,trump
11,-97.37760678827735,32.72575078530408,trump
11,-97.36384894107367,32.73201739086972,trump
11,-97.35783152292157,32.72940580916312,trump
11,-97.36940379630357,32.726214916210594,trump
12,-97.29254443339046,32.75163113795943,trump
12,-97.3000416005821,32.76223799271049,trump
13,-97.43635795663256,32.675010672106055,trump
13,-97.44929145719895,32.67495738258012,trump
13,-97.44040698001554,32.67552750064656,trump
13,-97.44277233790824,32.67593627548609,trump
13,-97.43698384830763,32.67944827558175,trump
13,-97.45307995172057,32.665184621868356,trump
13,-97.44394641038762,32.6761511190975,trump
13,-97.43716424693261,32.675866534095604,trump
13,-97.43840275685443,32.68187895429872,trump
13,-97.4491376264806,32.6662253549134,trump
13,-97.45840709057627,32.65988139433979,trump
13,-97.43395422278014,32.67635914038546,trump
13,-97.42968375678078,32.68297675801127,trump
13,-97.45193588002599,32.662398034460594,trump
13,-97.44372724103364,32.66214055179944,trump
13,-97.45705223709763,32.66193046704705,trump
13,-97.43648463990246,32.679887630079655,trump
13,-97.43660585128023,32.68068527871338,trump
13,-97.4509906667375,32.661799423565476,trump
13,-97.45083312566263,32.659824638184894,trump
13,-97.43928801073628,32.68149768860985,trump
